2, 0, 1, 37.594, 2018:3:13*2:10:28:338,
1, 0, 1, 39.185, 2018:3:13*2:10:28:417,
2, 0, 0, 20.1613, 2018:3:13*2:10:29:373,
1, 0, 0, 20.5086, 2018:3:13*2:10:29:579,
2, 0, 1, 10.218, 2018:3:13*2:10:31:545,
2, 0, 0, 9.24974, 2018:3:13*2:10:32:6,
2, 0, 0, 9.02165, 2018:3:13*2:10:32:129,
1, 0, 0, 9.83284, 2018:3:13*2:10:32:226,
2, 0, 1, 5.56242, 2018:3:13*2:10:35:231,
2, 0, 1, 5.40086, 2018:3:13*2:10:35:473,
1, 0, 1, 5.99592, 2018:3:13*2:10:35:480,
1, 0, 1, 5.80114, 2018:3:13*2:10:35:760,
1, 0, 1, 38.3142, 2018:3:13*3:0:39:185,
1, 0, 0, 19.7394, 2018:3:13*3:0:40:413,
101, 0, 1, 39.7772, 2018:3:13*3:0:42:520,
101, 0, 0, 20.202, 2018:3:13*3:0:43:738,
101, 0, 0, 9.48407, 2018:3:13*3:0:46:535,
1, 0, 1, 38.2555, 2018:3:13*3:1:13:489,
1, 0, 0, 19.6696, 2018:3:13*3:1:14:724,
2, 0, 1, 10.6383, 2018:3:13*3:1:16:413,
1, 0, 0, 9.54927, 2018:3:13*3:1:17:418,
2, 0, 0, 8.4666, 2018:3:13*3:1:17:498,
2, 0, 1, 5.93824, 2018:3:13*3:1:19:761,
2, 0, 0, 5.59562, 2018:3:13*3:1:20:225,
2, 0, 0, 5.51065, 2018:3:13*3:1:20:349,
1, 0, 1, 38.9408, 2018:3:13*3:1:48:715,
1, 0, 0, 20.1613, 2018:3:13*3:1:49:911,
2, 0, 1, 14.1376, 2018:3:13*3:1:50:614,
2, 0, 0, 10.6308, 2018:3:13*3:1:51:664,
1, 0, 1, 38.3436, 2018:3:13*3:2:10:192,
1, 0, 0, 20.008, 2018:3:13*3:2:11:387,
2, 0, 1, 13.5911, 2018:3:13*3:2:12:199,
2, 0, 0, 10.3926, 2018:3:13*3:2:13:218,
1, 0, 0, 9.69744, 2018:3:13*3:2:14:44,
2, 0, 1, 6.80993, 2018:3:13*3:2:15:496,
2, 0, 0, 6.36582, 2018:3:13*3:2:15:957,
2, 0, 0, 6.26043, 2018:3:13*3:2:16:76,
1, 0, 1, 5.93754, 2018:3:13*3:2:17:309,
1, 0, 1, 5.73526, 2018:3:13*3:2:17:606,
1, 0, 0, 5.02462, 2018:3:13*3:2:18:839,
2, 0, 1, 4.3407, 2018:3:13*3:2:19:255,
1, 0, 1, 4.81047, 2018:3:13*3:2:19:282,
2, 0, 1, 4.24168, 2018:3:13*3:2:19:497,
1, 0, 1, 4.42321, 2018:3:13*3:2:20:192,
